feature,dtype,unique_count,unique_ratio,category
TransactionID,int64,590540,1.0,HIGH_CARDINALITY
TransactionDT,int64,573349,0.9708893555051309,HIGH_CARDINALITY
id_02,float64,115655,0.1958461746875741,MEDIUM_CARDINALITY
V307,float64,37367,0.06327598469197683,MEDIUM_CARDINALITY
V127,float64,24414,0.04134182273851052,LOW_CARDINALITY
V308,float64,23064,0.03905577945609104,LOW_CARDINALITY
TransactionAmt,float64,20902,0.035394723473431096,LOW_CARDINALITY
V310,float64,19136,0.03240424018694754,LOW_CARDINALITY
V306,float64,16210,0.027449453042977613,LOW_CARDINALITY
V317,float64,15184,0.02571206014833881,LOW_CARDINALITY
V203,float64,14951,0.02531750601144715,LOW_CARDINALITY
V128,float64,14507,0.0245656517763403,LOW_CARDINALITY
card1,int64,13553,0.0229501811900972,LOW_CARDINALITY
V264,float64,13358,0.022619974938192164,LOW_CARDINALITY
V204,float64,12858,0.02177329224099976,LOW_CARDINALITY
D8,float64,12353,0.02091814271683544,LOW_CARDINALITY
V130,float64,12332,0.02088258204355336,LOW_CARDINALITY
V318,float64,12309,0.02084363463948251,LOW_CARDINALITY
V265,float64,11757,0.0199088969417821,LOW_CARDINALITY
V314,float64,11377,0.019265418091915874,LOW_CARDINALITY
V202,float64,10970,0.01857621837640126,LOW_CARDINALITY
V263,float64,10422,0.017648254140278388,LOW_CARDINALITY
V126,float64,10299,0.01743997019676906,LOW_CARDINALITY
V133,float64,9949,0.016847292308734378,LOW_CARDINALITY
V316,float64,9814,0.01661868798049243,LOW_CARDINALITY
V160,float64,9621,0.016291868459376163,LOW_CARDINALITY
V212,float64,8868,0.01501676431740441,LOW_CARDINALITY
V213,float64,8317,0.014083719985098385,LOW_CARDINALITY
V274,float64,8315,0.014080333254309615,LOW_CARDINALITY
V134,float64,8178,0.013848342195278897,LOW_CARDINALITY
V312,float64,8068,0.013662072001896569,LOW_CARDINALITY
V275,float64,7776,0.013167609306736208,LOW_CARDINALITY
V211,float64,7624,0.012910217766789718,LOW_CARDINALITY
V273,float64,7177,0.012153283435499712,LOW_CARDINALITY
V315,float64,6973,0.011807836895045214,LOW_CARDINALITY
V159,float64,6663,0.011282893622785924,LOW_CARDINALITY
V132,float64,6560,0.01110847698716429,LOW_CARDINALITY
V320,float64,6439,0.01090357977444373,LOW_CARDINALITY
V321,float64,5560,0.00941511159277949,RARE
V313,float64,5529,0.009362617265553562,RARE
V136,float64,4852,0.008216208893555052,RARE
V319,float64,4799,0.008126460527652656,RARE
V131,float64,4444,0.007525315812646053,RARE
V137,float64,4252,0.007200189656924171,RARE
V309,float64,4236,0.007173095810614014,RARE
V135,float64,3724,0.006306092728688996,RARE
V267,float64,3616,0.006123209266095438,RARE
V209,float64,3451,0.005843803976021946,RARE
V207,float64,3246,0.005496664070173062,RARE
V311,float64,3098,0.0052460459918041115,RARE
V210,float64,2836,0.004802384258475294,RARE
V271,float64,2787,0.004719409354150439,RARE
V268,float64,2756,0.00466691502692451,RARE
V215,float64,2747,0.004651674738375047,RARE
dist1,float64,2651,0.004489111660514106,RARE
V208,float64,2552,0.00432146848647001,RARE
V165,float64,2547,0.004313001659498087,RARE
V277,float64,2540,0.004301148101737393,RARE
V216,float64,2532,0.004287601178582314,RARE
V272,float64,2507,0.004245267043722694,RARE
V332,float64,2453,0.004153825312425915,RARE
V278,float64,2398,0.004060690215734751,RARE
V270,float64,2340,0.003962475022860433,RARE
V214,float64,2282,0.0038642598299861142,RARE
V276,float64,2263,0.003832085887492803,RARE
V205,float64,2240,0.003793138483421953,RARE
V266,float64,2178,0.003688149828970095,RARE
V150,float64,1996,0.0033799573271920615,RARE
V164,float64,1978,0.0033494767500931353,RARE
V333,float64,1971,0.0033376231923324417,RARE
V129,float64,1968,0.003332543096149287,RARE
DeviceInfo,str,1786,0.0030243505943712535,RARE
V206,float64,1780,0.0030141904020049444,RARE
V331,float64,1758,0.002976936363328479,RARE
dist2,float64,1751,0.0029650828055677856,RARE
C1,float64,1657,0.0028059064584956142,RARE
C13,float64,1597,0.002704304534832526,RARE
C11,float64,1476,0.0024994073221119655,RARE
V323,float64,1411,0.0023893385714769534,RARE
V96,float64,1410,0.0023876452060825684,RARE
C6,float64,1328,0.0022487892437430147,RARE
V294,float64,1286,0.0021776678971788532,RARE
V102,float64,1285,0.0021759745317844682,RARE
C4,float64,1260,0.0021336403969248485,RARE
C8,float64,1253,0.002121786839164155,RARE
V178,float64,1236,0.0020929996274596132,RARE
C10,float64,1231,0.002084532800487689,RARE
C2,float64,1216,0.002059132319571917,RARE
C12,float64,1199,0.0020303451078673754,RARE
C14,float64,1108,0.0018762488569783588,RARE
C7,float64,1103,0.0018677820300064347,RARE
V166,float64,987,0.0016713516442577979,RARE
V97,float64,976,0.001652724624919565,RARE
V324,float64,976,0.001652724624919565,RARE
V280,float64,975,0.0016510312595251803,RARE
V168,float64,965,0.0016340976055813324,RARE
V103,float64,928,0.0015714430859890948,RARE
V295,float64,928,0.0015714430859890948,RARE
V179,float64,921,0.001559589528228401,RARE
V95,float64,881,0.0014918549124530091,RARE
V322,float64,881,0.0014918549124530091,RARE
V279,float64,881,0.0014918549124530091,RARE
V167,float64,873,0.0014783079892979308,RARE
V293,float64,870,0.0014732278931147763,RARE
V101,float64,870,0.0014732278931147763,RARE
V143,float64,870,0.0014732278931147763,RARE
V177,float64,862,0.001459680969959698,RARE
D15,float64,859,0.0014546008737765434,RARE
D6,float64,829,0.0014037999119449994,RARE
D10,float64,818,0.0013851728926067668,RARE
D4,float64,808,0.0013682392386629187,RARE
D14,float64,802,0.0013580790462966099,RARE
D5,float64,688,0.0011650353913367426,RARE
D11,float64,676,0.001144715006604125,RARE
V335,float64,672,0.0011379415450265859,RARE
D3,float64,649,0.0010989941409557354,RARE
D1,float64,641,0.001085447217800657,RARE
D2,float64,641,0.001085447217800657,RARE
D12,float64,635,0.0010752870254343483,RARE
D7,float64,597,0.001010939140447726,RARE
D13,float64,577,0.0009770718325600297,RARE
id_19,float64,522,0.0008839367358688658,RARE
card2,float64,500,0.0008466826971924001,RARE
id_21,float64,490,0.0008297490432485522,RARE
V218,float64,401,0.0006790395231483049,RARE
id_20,float64,394,0.0006671859653876114,RARE
V338,float64,380,0.0006434788498662241,RARE
V219,float64,379,0.0006417854844718394,RARE
id_11,float64,365,0.0006180783689504521,RARE
V336,float64,356,0.0006028380804009889,RARE
id_25,float64,341,0.0005774375994852169,RARE
V232,float64,338,0.0005723575033020625,RARE
V339,float64,334,0.0005655840417245233,RARE
V233,float64,333,0.0005638906763301385,RARE
addr1,float64,332,0.0005621973109357537,RARE
C5,float64,319,0.0005401835608087513,RARE
V217,float64,304,0.0005147830798929793,RARE
V231,float64,294,0.0004978494259491313,RARE
id_33,str,260,0.0004402750025400481,RARE
V145,float64,260,0.0004402750025400481,RARE
V337,float64,254,0.0004301148101737393,RARE
V291,float64,219,0.00037084702137027127,RARE
V187,float64,215,0.0003640735597927321,RARE
C9,float64,205,0.0003471399058488841,RARE
V162,float64,185,0.00031327259796118807,RARE
