feature,dtype,unique_count,missing_percentage,dtype_category
TransactionID,int64,590540,0.0,identifier
isFraud,int64,2,0.0,target
TransactionDT,int64,573349,0.0,temporal
TransactionAmt,float64,20902,0.0,temporal
ProductCD,str,5,0.0,unknown
card1,int64,13553,0.0,numeric
card2,float64,500,1.5126833068039423,numeric
card3,float64,114,0.26501168422122123,numeric
card4,str,4,0.267043722694483,unknown
card5,float64,119,0.7212043214684865,numeric
card6,str,4,0.26602770345785215,unknown
addr1,float64,332,11.12642666034477,numeric
addr2,float64,74,11.12642666034477,numeric
dist1,float64,2651,59.6523520845328,numeric
dist2,float64,1751,93.62837403054831,numeric
P_emaildomain,str,59,15.99485216920107,unknown
R_emaildomain,str,60,76.75161716395164,unknown
C1,float64,1657,0.0,numeric
C2,float64,1216,0.0,numeric
C3,float64,27,0.0,numeric
C4,float64,1260,0.0,numeric
C5,float64,319,0.0,numeric
C6,float64,1328,0.0,numeric
C7,float64,1103,0.0,numeric
C8,float64,1253,0.0,numeric
C9,float64,205,0.0,numeric
C10,float64,1231,0.0,numeric
C11,float64,1476,0.0,numeric
C12,float64,1199,0.0,numeric
C13,float64,1597,0.0,numeric
C14,float64,1108,0.0,numeric
D1,float64,641,0.21488806854743114,numeric
D2,float64,641,47.54919226470688,numeric
D3,float64,649,44.514850814508755,numeric
D4,float64,808,28.60466691502693,numeric
D5,float64,688,52.4674027161581,numeric
D6,float64,829,87.60676668811597,numeric
D7,float64,597,93.40992989467267,numeric
D8,float64,12353,87.31229044603245,numeric
D9,float64,24,87.31229044603245,numeric
D10,float64,818,12.873302401192129,numeric
D11,float64,676,47.29349409015477,numeric
D12,float64,635,89.04104717715988,numeric
D13,float64,577,89.50926270870728,numeric
D14,float64,802,89.46946862193924,numeric
D15,float64,859,15.09008703898127,numeric
M1,str,2,45.90713584177194,unknown
M2,str,2,45.90713584177194,unknown
M3,str,2,45.90713584177194,unknown
M4,str,3,47.658753005723575,unknown
M5,str,2,59.34940901547736,unknown
M6,str,2,28.678836319300977,unknown
M7,str,2,58.63531682866528,unknown
M8,str,2,58.633115453652586,unknown
M9,str,2,58.633115453652586,unknown
V1,float64,2,47.29349409015477,binary
V2,float64,9,47.29349409015477,numeric
V3,float64,10,47.29349409015477,numeric
V4,float64,7,47.29349409015477,numeric
V5,float64,7,47.29349409015477,numeric
V6,float64,10,47.29349409015477,numeric
V7,float64,10,47.29349409015477,numeric
V8,float64,9,47.29349409015477,numeric
V9,float64,9,47.29349409015477,numeric
V10,float64,5,47.29349409015477,numeric
V11,float64,6,47.29349409015477,numeric
V12,float64,4,12.881938564703491,numeric
V13,float64,7,12.881938564703491,numeric
V14,float64,2,12.881938564703491,binary
V15,float64,8,12.881938564703491,numeric
V16,float64,15,12.881938564703491,numeric
V17,float64,16,12.881938564703491,numeric
V18,float64,16,12.881938564703491,numeric
V19,float64,8,12.881938564703491,numeric
V20,float64,15,12.881938564703491,numeric
V21,float64,6,12.881938564703491,numeric
V22,float64,9,12.881938564703491,numeric
V23,float64,14,12.881938564703491,numeric
V24,float64,14,12.881938564703491,numeric
V25,float64,7,12.881938564703491,numeric
V26,float64,13,12.881938564703491,numeric
V27,float64,4,12.881938564703491,numeric
V28,float64,4,12.881938564703491,numeric
V29,float64,6,12.881938564703491,numeric
V30,float64,8,12.881938564703491,numeric
V31,float64,8,12.881938564703491,numeric
V32,float64,15,12.881938564703491,numeric
V33,float64,7,12.881938564703491,numeric
V34,float64,13,12.881938564703491,numeric
V35,float64,4,28.612625732380533,numeric
V36,float64,6,28.612625732380533,numeric
V37,float64,55,28.612625732380533,numeric
V38,float64,55,28.612625732380533,numeric
V39,float64,16,28.612625732380533,numeric
V40,float64,18,28.612625732380533,numeric
V41,float64,2,28.612625732380533,binary
V42,float64,9,28.612625732380533,numeric
V43,float64,9,28.612625732380533,numeric
